region,category,total_sales,total_profit,order_count
East,Technology,264973.981,47462.0351,443
West,Furniture,252612.7435,11504.9503,595
West,Technology,251991.832,44303.6496,490
West,Office Supplies,220853.249,52609.849,1169
East,Furniture,208291.204,3046.1658,488
East,Office Supplies,205516.055,41014.5791,1074
Central,Technology,170416.312,33697.432,356
Central,Office Supplies,167026.415,8879.979899999998,880
Central,Furniture,163797.1638,-2871.0494,403
South,Technology,148771.908,19991.8314,255
South,Office Supplies,125651.313,19986.3928,619
South,Furniture,117298.684,6771.2061,278
